Start time,,Move type,File,Duration,Repeat,Start speed °/s,kP,kI,Notes
0,0:0.000,start_only,act_salto_friend.csv ,19467,false,90,50,2,
2000,0:2.000,movement,act_salto_friend.csv ,19467,false,180,50,2,
